Sr No, Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
1942,Government  Head quarters Hospital,Tamil Nadu,Ariyalur,Ariyalur,"Perambalur Road, Ariyalur",621704,,,,,,,,,,,,Government,,,,,,,#N/A,#N/A
1943,CANCER INSTITUTE HOSPITAL BLOOD BANK,Tamil Nadu,CHENNAI,Adyar,"Cancer Institute (WIA) ,No.18 Sardar Patel road",600036,"044 22209150,044 24910754,044 22350241",,,044 24912085,cibloodbank3@gmail.com,http://www.cancerinstitutewia.org,Dr. Narmadha,,9840037100,drnarmadha01@gmail.com,MBBS,Charity,YES,YES,24X7,126,5/13/1997,31-12-2017,13.005335,80.239623
1944,Rajiv Gandhi Government General Hospital,Tamil Nadu,CHENNAI,Chennai,"General Hospital Road
Park Town,
Chennai, Tamil Nadu ",600003,"044 25305711,  044 2530 5000",9436120190,N/A,N/A,dchsub@yahoo.co.in,http://www.mmc.tn.gov.in,Dr.Subash,"044 25305711,  044 2530 5000","9381715141, 9443988432",dchsub@yahoo.co.in,"MBBS, MD (Transfusion Medicine)",Government,YES,YES,24X7,36/28c,N/A,6.4.2018,13.081279,80.27678
1945,The Institute of Child Health and Hospital for Children,Tamil Nadu,CHENNAI,Chennai,"Halls Road, Egmore, Chennai",600008,044 28191132  044 2819 2138,"09445142097, 09941173095",N/A,N/A,ichbloodbank@gmail.com,http://www.mmc.tn.gov.in,Dr. Subbulakshmi,N/A,9994512980,ichbloodbank@gmail.com,MD (Pathology),Government,YES,NO,24X7,115/28c,31-03-1997,31-12-2012,13.072798,80.258257
1946,Government Kilpauk Medical College Hospital Blood Bank,Tamil Nadu,CHENNAI,Chennai,"Government Kilpauk Medical College and Hospital,                    822, Poonamallee High Rd, Kilpauk, Chennai  ",600010,044 28364955,9941242840,N/A,N/A,kmchbloodbank@gmail.com,http://www.gkmc.in/,Dr. Ravindran,N/A,9941242840,kmchbloodbank@gmail.com,"MBBS, DCP",Government,YES,NO,24x7,116/28c,N/A,31-12-2012,13.078315,80.243824
1947,Southern Railway Headquarters Hospital,Tamil Nadu,CHENNAI,Chennai,"Ayanavaram
Chennai, Tamil Nadu ",600023,044 2674 1624,9841896599,N/A,N/A,N/A,http://www.sr.indianrailways.gov.in,Dr. Jaisri,N/A,9003160548,jaisri12@yahoo.com,"MBBS, MD, DCP, DNB",Government,YES,NO,24X7,,,,13.101967,80.232996
1948,ESIC Hospital And Occupational Diseases Centre Blood Bank,Tamil Nadu,CHENNAI,Chennai,"Ashok Pillar Main Road, K.K. Nagar,Chennai",600078,044 24893714  ,9840362852,N/A,N/A,,,,,,,,Government,,,24x7,,,,13.034844,80.2083
1949,Apollo Hospital Enterprises Limited Blood Bank,Tamil Nadu,CHENNAI,Chennai,"No:21, Greams Lane, Off Greams Road, Thousand Lights West, Thousand Lights, Chennai ",600006,"044 28294870,  044 2829 0200",9894769935,N/A,N/A,drrema_m@apollohospital.co,http://www.apollohospitals.com,Dr. Rema Menon,N/A,9894769935,drrema_m@apollohospital.co,MBBS,Private,YES,YES,24x7,339/28c,30-09-1994,29-09-2017,13.063084,80.251472
1950,Jeevan Blood Bank and Research Centre,Tamil Nadu,CHENNAI,Chennai,"22/11, Wheatcrofts Road, Nungambakkam
Chennai, Tamil Nadu 600034",600034,0435 20220    044 2826 3113,093817 75666,N/A,N/A,safeblood@jeevan.org,http://www.jeevan.org,Dr. Prabhakaran,0435 20220    044 2826 3113,8939995678,safeblood@jeevan.org,"MBBS, MD, Transfusion Medicine",Private,YES,NO,24X7,370/28c,12-09-1995,05-02-2020,13.064595,80.241688
1951,Apollo Speciality Hospital Blood Bank,Tamil Nadu,CHENNAI,Chennai,"4th Floor, Geo Tower, Old No.319, New No.465, Anna Salai, Nandanam, Chennai",600035,"044 24347288, 044 24331741, 044 24336119",N/A,N/A,N/A,drrema_m@apollohospital.co,http://www.apollohospitals.com,Dr. Rema Menon,N/A,9840352531,drrema_m@apollohospital.co,MBBS,Private,YES,YES,24X7,339,30-09-1994,29-09-2017,13.033595,80.24507
